"","id","noi","category","category_1to5","category_5to10","category_10to15","category_15to20","category_20+","category_NA"
"1846",1846,"1","1to5",1,0,0,0,0,0
"1847",1847,"2","1to5",1,0,0,0,0,0
"1848",1848,"4","1to5",1,0,0,0,0,0
"1849",1849,"NA","NA",0,0,0,0,0,1
"1850",1850,"NA","NA",0,0,0,0,0,1
"1851",1851,"7","5to10",0,1,0,0,0,0
"1852",1852,"2","1to5",1,0,0,0,0,0
"1853",1853,"NA","NA",0,0,0,0,0,1
"1854",1854,"2","1to5",1,0,0,0,0,0
"1855",1855,"NA","NA",0,0,0,0,0,1
"1856",1856,"3","1to5",1,0,0,0,0,0
"1857",1857,"NA","NA",0,0,0,0,0,1
"1858",1858,"NA","NA",0,0,0,0,0,1
"1859",1859,"1","1to5",1,0,0,0,0,0
"1860",1860,"1","1to5",1,0,0,0,0,0
"1861",1861,"3","1to5",1,0,0,0,0,0
"1862",1862,"NA","NA",0,0,0,0,0,1
"1863",1863,"7","5to10",0,1,0,0,0,0
"1864",1864,"1","1to5",1,0,0,0,0,0
"1865",1865,"1","1to5",1,0,0,0,0,0
"1866",1866,"2","1to5",1,0,0,0,0,0
"1867",1867,"NA","NA",0,0,0,0,0,1
"1868",1868,"2","1to5",1,0,0,0,0,0
"1869",1869,"1","1to5",1,0,0,0,0,0
"1870",1870,"NA","NA",0,0,0,0,0,1
"1871",1871,"1","1to5",1,0,0,0,0,0
"1872",1872,"3","1to5",1,0,0,0,0,0
"1873",1873,"2","1to5",1,0,0,0,0,0
"1874",1874,"3","1to5",1,0,0,0,0,0
"1875",1875,"NA","NA",0,0,0,0,0,1
"1876",1876,"1","1to5",1,0,0,0,0,0
"1877",1877,"NA","NA",0,0,0,0,0,1
"1878",1878,"10","5to10",0,1,0,0,0,0
"1879",1879,"NA","NA",0,0,0,0,0,1
"1880",1880,"2","1to5",1,0,0,0,0,0
"1881",1881,"NA","NA",0,0,0,0,0,1
"1882",1882,"1","1to5",1,0,0,0,0,0
"1883",1883,"4","1to5",1,0,0,0,0,0
"1884",1884,"2","1to5",1,0,0,0,0,0
"1885",1885,"NA","NA",0,0,0,0,0,1
"1886",1886,"NA","NA",0,0,0,0,0,1
"1887",1887,"NA","NA",0,0,0,0,0,1
"1888",1888,"NA","NA",0,0,0,0,0,1
"1889",1889,"1","1to5",1,0,0,0,0,0
"1890",1890,"NA","NA",0,0,0,0,0,1
"1891",1891,"NA","NA",0,0,0,0,0,1
"1892",1892,"3","1to5",1,0,0,0,0,0
"1893",1893,"NA","NA",0,0,0,0,0,1
"1894",1894,"10","5to10",0,1,0,0,0,0
"1895",1895,"6","5to10",0,1,0,0,0,0
"1896",1896,"NA","NA",0,0,0,0,0,1
"1897",1897,"NA","NA",0,0,0,0,0,1
"1898",1898,"NA","NA",0,0,0,0,0,1
