"","Y","id","Number_of_Funding_Rounds"
"676",0,676,1
"677",0,677,4
"678",0,678,4
"679",0,679,5
"680",0,680,4
"681",0,681,11
"682",0,682,3
"683",0,683,3
"684",0,684,3
"685",0,685,4
"686",0,686,2
"687",0,687,4
"688",0,688,2
"689",0,689,5
"690",0,690,5
"691",0,691,1
"692",0,692,2
"693",0,693,1
"694",0,694,2
"695",0,695,3
"696",0,696,3
"697",0,697,1
"698",0,698,1
"699",0,699,1
"700",0,700,2
"701",0,701,1
"702",0,702,2
"703",0,703,1
"704",0,704,2
"705",0,705,4
"706",0,706,5
"707",0,707,4
"708",0,708,1
"709",0,709,2
"710",0,710,1
"711",0,711,3
"712",0,712,4
"713",0,713,2
"714",0,714,5
"715",0,715,2
"716",0,716,3
"717",0,717,3
"718",0,718,4
"719",0,719,4
"720",0,720,3
"721",0,721,12
"722",0,722,1
"723",0,723,1
"724",0,724,2
"725",0,725,3
"726",0,726,2
"727",0,727,2
"728",0,728,2
"729",0,729,3
"730",0,730,3
"731",0,731,7
"732",0,732,2
"733",0,733,1
"734",0,734,4
"735",0,735,0
"736",0,736,1
"737",0,737,3
"738",0,738,7
"739",0,739,3
"740",0,740,7
"741",0,741,3
"742",0,742,2
"743",0,743,0
"744",0,744,2
"745",0,745,2
"746",0,746,1
"747",0,747,3
"748",0,748,0
"749",0,749,3
"750",0,750,2
"751",0,751,4
"752",0,752,2
"753",0,753,4
"754",0,754,4
"755",0,755,5
"756",0,756,1
"757",0,757,4
"758",0,758,3
"759",0,759,4
"760",0,760,6
"761",0,761,2
"762",0,762,2
"763",0,763,1
"764",0,764,3
"765",0,765,5
"766",0,766,3
"767",0,767,1
"768",0,768,2
"769",0,769,1
"770",0,770,2
"771",0,771,4
"772",0,772,6
"773",0,773,1
"774",0,774,1
"775",0,775,6
"776",0,776,3
"777",0,777,1
"778",0,778,5
"779",0,779,2
"780",0,780,4
"781",0,781,4
"782",0,782,1
"783",0,783,3
"784",0,784,1
"785",0,785,4
"786",0,786,3
"787",0,787,2
"788",0,788,2
"789",0,789,4
"790",0,790,2
"791",0,791,4
"792",0,792,1
"793",0,793,1
"794",0,794,4
"795",0,795,2
"796",0,796,1
"797",0,797,6
"798",0,798,2
"799",0,799,2
"800",0,800,1
"801",0,801,1
"802",0,802,3
"803",0,803,2
"804",0,804,1
"805",0,805,2
"806",0,806,4
"807",0,807,2
"808",0,808,2
"809",0,809,2
"810",0,810,3
"811",0,811,3
"812",0,812,5
"813",0,813,2
"814",0,814,1
"815",0,815,1
"816",0,816,2
"817",0,817,1
"818",0,818,2
"819",0,819,4
"820",0,820,2
"821",0,821,1
"822",0,822,1
"823",0,823,2
"824",0,824,3
"825",0,825,2
"826",0,826,2
"827",0,827,1
"828",0,828,1
"829",0,829,4
"830",0,830,5
"831",0,831,1
"832",0,832,1
"833",0,833,2
"834",0,834,1
"835",0,835,2
"836",0,836,1
"837",0,837,4
"838",0,838,5
"839",0,839,3
"840",0,840,6
"841",0,841,2
"842",0,842,2
"843",0,843,2
"844",0,844,3
"845",0,845,3
"846",0,846,1
"847",0,847,2
"848",0,848,2
"849",0,849,2
"850",0,850,10
"851",0,851,2
"852",0,852,4
"853",0,853,6
"854",0,854,5
"855",0,855,11
"856",0,856,1
"857",0,857,1
"858",0,858,2
"859",0,859,5
"860",0,860,1
"861",0,861,1
"862",0,862,1
"863",0,863,1
"864",0,864,1
"865",0,865,4
"866",0,866,1
"867",0,867,1
"868",0,868,3
"869",0,869,2
"870",0,870,0
"871",0,871,3
"872",0,872,7
"873",0,873,5
"874",0,874,6
"875",0,875,1
"876",0,876,9
"877",0,877,3
"878",0,878,2
"879",0,879,1
"880",0,880,2
"881",0,881,1
"882",0,882,2
"883",0,883,4
"884",0,884,2
"885",0,885,5
"886",0,886,1
"887",0,887,2
"888",0,888,1
"889",0,889,6
"890",0,890,3
"891",0,891,1
"892",0,892,2
"893",0,893,3
"894",0,894,1
"895",0,895,2
"896",0,896,1
"897",0,897,2
"898",0,898,4
"899",0,899,3
"900",0,900,4
"901",0,901,1
"902",0,902,11
"903",0,903,2
"904",0,904,3
"905",0,905,3
"906",0,906,5
"907",0,907,2
"908",0,908,2
"909",0,909,3
"910",0,910,4
"911",0,911,2
"912",0,912,1
"913",0,913,1
"914",0,914,8
"915",0,915,5
"916",0,916,1
"917",0,917,1
"918",0,918,2
"919",0,919,4
"920",0,920,3
"921",0,921,1
"922",0,922,2
"923",0,923,3
"924",0,924,1
"925",0,925,1
"926",0,926,5
"927",0,927,5
"928",0,928,1
"929",0,929,2
"930",0,930,3
"931",0,931,4
"932",0,932,1
"933",0,933,3
"934",0,934,2
"935",0,935,3
"936",0,936,4
"937",0,937,2
"938",0,938,2
"939",0,939,3
"940",0,940,5
"941",0,941,1
"942",0,942,1
"943",0,943,2
"944",0,944,1
"945",0,945,2
"946",0,946,3
"947",0,947,2
"948",0,948,5
"949",0,949,2
"950",0,950,2
"951",0,951,1
"952",0,952,1
"953",0,953,1
"954",0,954,6
"955",0,955,0
"956",0,956,1
"957",0,957,2
"958",0,958,1
"959",0,959,1
"960",0,960,1
"961",0,961,1
"962",0,962,1
"963",0,963,4
"964",0,964,2
"965",0,965,10
"966",0,966,5
"967",0,967,8
"968",0,968,1
"969",0,969,1
"970",0,970,5
"971",0,971,1
"972",0,972,5
"973",0,973,3
"974",0,974,1
"975",0,975,1
"976",0,976,1
"977",0,977,4
"978",0,978,6
"979",0,979,5
"980",0,980,9
"981",0,981,3
"982",0,982,1
"983",0,983,2
"984",0,984,3
"985",0,985,1
"986",0,986,3
"987",0,987,1
"988",0,988,2
"989",0,989,1
"990",0,990,3
"991",0,991,1
"992",0,992,2
"993",0,993,9
"994",0,994,2
"995",0,995,4
"996",0,996,2
"997",0,997,5
"998",0,998,3
"999",0,999,1
"1000",0,1000,2
"1001",0,1001,1
"1002",0,1002,6
"1003",0,1003,1
"1004",0,1004,1
"1005",0,1005,1
"1006",0,1006,6
"1007",0,1007,7
"1008",0,1008,2
"1009",0,1009,7
"1010",0,1010,3
"1011",0,1011,2
"1012",0,1012,5
"1013",0,1013,2
"1014",0,1014,4
"1015",0,1015,6
"1016",0,1016,1
"1017",0,1017,4
"1018",0,1018,1
"1019",0,1019,11
"1020",0,1020,3
"1021",0,1021,7
"1022",0,1022,5
"1023",0,1023,2
"1024",0,1024,4
"1025",0,1025,4
"1026",0,1026,2
"1027",0,1027,1
"1028",0,1028,3
"1029",0,1029,2
"1030",0,1030,2
"1031",0,1031,3
"1032",0,1032,1
"1033",0,1033,3
"1034",0,1034,2
"1035",0,1035,1
"1036",0,1036,1
"1037",0,1037,3
"1038",0,1038,3
"1039",0,1039,1
"1040",0,1040,1
"1041",0,1041,1
"1042",0,1042,3
"1043",0,1043,3
"1044",0,1044,7
"1045",0,1045,8
"1046",0,1046,6
"1047",0,1047,1
"1048",0,1048,3
"1049",0,1049,10
"1050",0,1050,2
"1051",0,1051,2
"1052",0,1052,5
"1053",0,1053,4
"1054",0,1054,5
"1055",0,1055,1
"1056",0,1056,2
"1057",0,1057,5
"1058",0,1058,1
"1059",0,1059,1
"1060",0,1060,2
"1061",0,1061,4
"1062",0,1062,1
"1063",0,1063,0
"1064",0,1064,1
"1065",0,1065,2
"1066",0,1066,3
"1067",0,1067,1
"1068",0,1068,2
"1069",0,1069,1
"1070",0,1070,2
"1071",0,1071,1
"1072",0,1072,3
"1073",0,1073,1
"1074",0,1074,9
"1075",0,1075,1
"1076",0,1076,1
"1077",0,1077,3
"1078",0,1078,4
"1079",0,1079,7
"1080",0,1080,1
"1081",0,1081,0
"1082",0,1082,1
"1083",0,1083,3
"1084",0,1084,5
"1085",0,1085,1
"1086",0,1086,2
"1087",0,1087,8
"1088",0,1088,2
"1089",0,1089,5
"1090",0,1090,1
"1091",0,1091,1
"1092",0,1092,4
"1093",0,1093,3
"1094",0,1094,1
"1095",0,1095,3
"1096",0,1096,1
"1097",0,1097,2
"1098",0,1098,1
"1099",0,1099,2
"1100",0,1100,1
"1101",0,1101,2
"1102",0,1102,2
"1103",0,1103,5
"1104",0,1104,1
"1105",0,1105,2
"1106",0,1106,1
"1107",0,1107,0
"1108",0,1108,2
"1109",0,1109,2
"1110",0,1110,2
"1111",0,1111,8
"1112",0,1112,9
"1113",0,1113,2
"1114",0,1114,4
"1115",0,1115,1
"1116",0,1116,1
"1117",0,1117,4
"1118",0,1118,4
"1119",0,1119,1
"1120",0,1120,3
"1121",0,1121,3
"1122",0,1122,2
"1123",0,1123,2
"1124",0,1124,4
"1125",0,1125,4
"1126",0,1126,5
"1127",0,1127,1
"1128",0,1128,3
"1129",0,1129,1
"1130",0,1130,1
"1131",0,1131,2
"1132",0,1132,3
"1133",0,1133,2
"1134",0,1134,2
"1135",0,1135,5
"1136",0,1136,1
"1137",0,1137,5
"1138",0,1138,7
"1139",0,1139,6
"1140",0,1140,4
"1141",0,1141,2
"1142",0,1142,2
"1143",0,1143,1
"1144",0,1144,5
"1145",0,1145,6
"1146",0,1146,2
"1147",0,1147,2
"1148",0,1148,2
"1149",0,1149,1
"1150",0,1150,4
"1151",0,1151,1
"1152",0,1152,2
"1153",0,1153,4
"1154",0,1154,1
"1155",0,1155,3
"1156",0,1156,3
"1157",0,1157,2
"1158",0,1158,2
"1159",0,1159,1
"1160",0,1160,1
"1161",0,1161,3
"1162",0,1162,1
"1163",0,1163,1
"1164",0,1164,9
"1165",0,1165,0
"1166",0,1166,0
"1167",0,1167,7
"1168",0,1168,2
"1169",0,1169,2
"1170",0,1170,3
"1171",0,1171,2
"1172",0,1172,2
"1173",0,1173,3
"1174",0,1174,1
"1175",0,1175,3
"1176",0,1176,2
"1177",0,1177,4
"1178",0,1178,2
"1179",0,1179,6
"1180",0,1180,3
"1181",0,1181,1
"1182",0,1182,1
"1183",0,1183,2
"1184",0,1184,2
"1185",0,1185,5
"1186",0,1186,9
"1187",0,1187,5
"1188",0,1188,2
"1189",0,1189,1
"1190",0,1190,1
"1191",0,1191,3
"1192",0,1192,6
"1193",0,1193,3
"1194",0,1194,1
"1195",0,1195,3
"1196",0,1196,1
"1197",0,1197,1
"1198",0,1198,2
"1199",0,1199,1
"1200",0,1200,2
"1201",0,1201,2
"1202",0,1202,1
"1203",0,1203,2
"1204",0,1204,4
"1205",0,1205,3
"1206",0,1206,2
"1207",0,1207,1
"1208",0,1208,2
"1209",0,1209,3
"1210",0,1210,1
"1211",0,1211,3
"1212",0,1212,1
"1213",0,1213,2
"1214",0,1214,2
"1215",0,1215,4
"1216",0,1216,0
"1217",0,1217,4
"1218",0,1218,2
"1219",0,1219,3
"1220",0,1220,3
"1221",0,1221,5
"1222",0,1222,1
"1223",0,1223,1
"1224",0,1224,7
"1225",0,1225,2
"1226",0,1226,1
"1227",0,1227,1
"1228",0,1228,4
"1229",0,1229,3
"1230",0,1230,1
"1231",0,1231,3
"1232",0,1232,4
"1233",0,1233,2
"1234",0,1234,1
"1235",0,1235,2
"1236",0,1236,4
"1237",0,1237,1
"1238",0,1238,1
"1239",0,1239,3
"1240",0,1240,5
"1241",0,1241,4
"1242",0,1242,2
"1243",0,1243,2
"1244",0,1244,7
"1245",0,1245,3
"1246",0,1246,1
"1247",0,1247,6
"1248",0,1248,2
"1249",0,1249,1
"1250",0,1250,6
"1251",0,1251,2
"1252",0,1252,1
"1253",0,1253,1
"1254",0,1254,1
"1255",0,1255,2
"1256",0,1256,6
"1257",0,1257,3
"1258",0,1258,1
"1259",0,1259,1
"1260",0,1260,1
"1261",0,1261,10
"1262",0,1262,2
"1263",0,1263,1
"1264",0,1264,1
"1265",0,1265,1
"1266",0,1266,1
"1267",0,1267,4
"1268",0,1268,3
"1269",0,1269,1
"1270",0,1270,1
"1271",0,1271,2
"1272",0,1272,2
"1273",0,1273,2
"1274",0,1274,3
"1275",0,1275,4
"1276",0,1276,10
"1277",0,1277,3
"1278",0,1278,2
"1279",0,1279,2
"1280",0,1280,1
"1281",0,1281,2
"1282",0,1282,1
"1283",0,1283,2
"1284",0,1284,3
"1285",0,1285,1
"1286",0,1286,4
"1287",0,1287,2
"1288",0,1288,5
"1289",0,1289,1
"1290",0,1290,6
"1291",0,1291,1
"1292",0,1292,1
"1293",0,1293,1
"1294",0,1294,6
"1295",0,1295,2
"1296",0,1296,1
"1297",0,1297,3
"1298",0,1298,1
"1299",0,1299,9
"1300",0,1300,1
"1301",0,1301,1
"1302",0,1302,1
"1303",0,1303,2
"1304",0,1304,1
"1305",0,1305,4
"1306",0,1306,5
"1307",0,1307,8
"1308",0,1308,1
"1309",0,1309,7
"1310",0,1310,1
"1311",0,1311,3
"1312",0,1312,5
"1313",0,1313,6
"1314",0,1314,1
"1315",0,1315,1
"1316",0,1316,4
"1317",0,1317,1
"1318",0,1318,2
"1319",0,1319,2
"1320",0,1320,3
"1321",0,1321,5
"1322",0,1322,2
"1323",0,1323,1
"1324",0,1324,0
"1325",0,1325,3
"1326",0,1326,3
"1327",0,1327,2
"1328",0,1328,4
"1329",0,1329,1
"1330",0,1330,1
"1331",0,1331,5
"1332",0,1332,1
"1333",0,1333,2
"1334",0,1334,6
"1335",0,1335,2
"1336",0,1336,1
"1337",0,1337,3
"1338",0,1338,1
"1339",0,1339,2
"1340",0,1340,2
"1341",0,1341,4
"1342",0,1342,1
"1343",0,1343,2
"1344",0,1344,1
"1345",0,1345,1
"1346",0,1346,3
"1347",0,1347,1
"1348",0,1348,1
"1349",0,1349,2
"1350",0,1350,1
"1351",0,1351,5
"1352",0,1352,1
"1353",0,1353,2
"1354",0,1354,1
"1355",0,1355,11
"1356",0,1356,1
"1357",0,1357,2
"1358",0,1358,2
"1359",0,1359,6
"1360",0,1360,3
"1361",0,1361,2
"1362",0,1362,1
"1363",0,1363,1
"1364",0,1364,1
"1365",0,1365,2
"1366",0,1366,1
"1367",0,1367,3
"1368",0,1368,3
"1369",0,1369,1
"1370",0,1370,1
"1371",0,1371,1
"1372",0,1372,2
"1373",0,1373,2
"1374",0,1374,2
"1375",0,1375,2
"1376",0,1376,4
"1377",0,1377,5
"1378",0,1378,6
"1379",0,1379,4
"1380",0,1380,1
"1381",0,1381,5
"1382",0,1382,2
"1383",0,1383,1
"1384",0,1384,1
"1385",0,1385,1
"1386",0,1386,2
"1387",0,1387,1
"1388",0,1388,1
"1389",0,1389,2
"1390",0,1390,2
"1391",0,1391,4
"1392",0,1392,2
"1393",0,1393,1
"1394",0,1394,3
"1395",0,1395,1
"1396",0,1396,7
"1397",0,1397,1
"1398",0,1398,1
"1399",0,1399,1
"1400",0,1400,2
"1401",0,1401,4
"1402",0,1402,1
"1403",0,1403,2
"1404",0,1404,4
"1405",0,1405,1
"1406",0,1406,0
"1407",0,1407,1
"1408",0,1408,1
"1409",0,1409,1
"1410",0,1410,2
"1411",0,1411,2
"1412",0,1412,1
"1413",0,1413,3
"1414",0,1414,2
"1415",0,1415,2
"1416",0,1416,1
"1417",0,1417,2
"1418",0,1418,0
"1419",0,1419,1
"1420",0,1420,1
"1421",0,1421,1
"1422",0,1422,1
"1423",0,1423,0
"1424",0,1424,4
"1425",0,1425,0
"1426",0,1426,4
"1427",0,1427,0
"1428",0,1428,2
"1429",0,1429,2
"1430",0,1430,4
"1431",0,1431,1
"1432",0,1432,1
"1433",0,1433,1
"1434",0,1434,1
"1435",0,1435,1
"1436",0,1436,1
"1437",0,1437,3
"1438",0,1438,6
"1439",0,1439,1
"1440",0,1440,3
"1441",0,1441,1
"1442",0,1442,4
"1443",0,1443,1
"1444",0,1444,4
"1445",0,1445,3
"1446",0,1446,3
"1447",0,1447,7
"1448",0,1448,1
