"","id","nof","nof_1","nof_2","nof_3","nof_4","nof_5","nof_6","nof_7","nof_8","nof_9","nof_NA"
"1375",1375,"1",1,0,0,0,0,0,0,0,0,0
"1376",1376,"3",0,0,1,0,0,0,0,0,0,0
"1377",1377,"2",0,1,0,0,0,0,0,0,0,0
"1378",1378,"1",1,0,0,0,0,0,0,0,0,0
"1379",1379,"1",1,0,0,0,0,0,0,0,0,0
"1380",1380,"5",0,0,0,0,1,0,0,0,0,0
"1381",1381,"2",0,1,0,0,0,0,0,0,0,0
"1382",1382,"2",0,1,0,0,0,0,0,0,0,0
"1383",1383,"NA",0,0,0,0,0,0,0,0,0,1
"1384",1384,"1",1,0,0,0,0,0,0,0,0,0
"1385",1385,"NA",0,0,0,0,0,0,0,0,0,1
"1386",1386,"NA",0,0,0,0,0,0,0,0,0,1
"1387",1387,"4",0,0,0,1,0,0,0,0,0,0
"1388",1388,"3",0,0,1,0,0,0,0,0,0,0
"1389",1389,"3",0,0,1,0,0,0,0,0,0,0
"1390",1390,"2",0,1,0,0,0,0,0,0,0,0
"1391",1391,"6",0,0,0,0,0,1,0,0,0,0
"1392",1392,"1",1,0,0,0,0,0,0,0,0,0
"1393",1393,"NA",0,0,0,0,0,0,0,0,0,1
"1394",1394,"1",1,0,0,0,0,0,0,0,0,0
"1395",1395,"2",0,1,0,0,0,0,0,0,0,0
"1396",1396,"1",1,0,0,0,0,0,0,0,0,0
"1397",1397,"1",1,0,0,0,0,0,0,0,0,0
"1398",1398,"2",0,1,0,0,0,0,0,0,0,0
"1399",1399,"2",0,1,0,0,0,0,0,0,0,0
"1400",1400,"2",0,1,0,0,0,0,0,0,0,0
"1401",1401,"1",1,0,0,0,0,0,0,0,0,0
"1402",1402,"1",1,0,0,0,0,0,0,0,0,0
"1403",1403,"2",0,1,0,0,0,0,0,0,0,0
"1404",1404,"3",0,0,1,0,0,0,0,0,0,0
"1405",1405,"2",0,1,0,0,0,0,0,0,0,0
"1406",1406,"NA",0,0,0,0,0,0,0,0,0,1
"1407",1407,"1",1,0,0,0,0,0,0,0,0,0
"1408",1408,"1",1,0,0,0,0,0,0,0,0,0
"1409",1409,"1",1,0,0,0,0,0,0,0,0,0
"1410",1410,"3",0,0,1,0,0,0,0,0,0,0
"1411",1411,"1",1,0,0,0,0,0,0,0,0,0
"1412",1412,"1",1,0,0,0,0,0,0,0,0,0
"1413",1413,"3",0,0,1,0,0,0,0,0,0,0
"1414",1414,"NA",0,0,0,0,0,0,0,0,0,1
"1415",1415,"NA",0,0,0,0,0,0,0,0,0,1
"1416",1416,"1",1,0,0,0,0,0,0,0,0,0
"1417",1417,"1",1,0,0,0,0,0,0,0,0,0
"1418",1418,"1",1,0,0,0,0,0,0,0,0,0
"1419",1419,"2",0,1,0,0,0,0,0,0,0,0
"1420",1420,"1",1,0,0,0,0,0,0,0,0,0
"1421",1421,"2",0,1,0,0,0,0,0,0,0,0
"1422",1422,"4",0,0,0,1,0,0,0,0,0,0
"1423",1423,"NA",0,0,0,0,0,0,0,0,0,1
"1424",1424,"1",1,0,0,0,0,0,0,0,0,0
"1425",1425,"NA",0,0,0,0,0,0,0,0,0,1
"1426",1426,"1",1,0,0,0,0,0,0,0,0,0
"1427",1427,"1",1,0,0,0,0,0,0,0,0,0
"1428",1428,"2",0,1,0,0,0,0,0,0,0,0
"1429",1429,"2",0,1,0,0,0,0,0,0,0,0
"1430",1430,"1",1,0,0,0,0,0,0,0,0,0
"1431",1431,"2",0,1,0,0,0,0,0,0,0,0
"1432",1432,"NA",0,0,0,0,0,0,0,0,0,1
"1433",1433,"NA",0,0,0,0,0,0,0,0,0,1
"1434",1434,"1",1,0,0,0,0,0,0,0,0,0
"1435",1435,"2",0,1,0,0,0,0,0,0,0,0
"1436",1436,"3",0,0,1,0,0,0,0,0,0,0
"1437",1437,"3",0,0,1,0,0,0,0,0,0,0
"1438",1438,"1",1,0,0,0,0,0,0,0,0,0
"1439",1439,"NA",0,0,0,0,0,0,0,0,0,1
"1440",1440,"2",0,1,0,0,0,0,0,0,0,0
"1441",1441,"NA",0,0,0,0,0,0,0,0,0,1
"1442",1442,"2",0,1,0,0,0,0,0,0,0,0
"1443",1443,"4",0,0,0,1,0,0,0,0,0,0
"1444",1444,"1",1,0,0,0,0,0,0,0,0,0
"1445",1445,"2",0,1,0,0,0,0,0,0,0,0
"1446",1446,"1",1,0,0,0,0,0,0,0,0,0
"1447",1447,"NA",0,0,0,0,0,0,0,0,0,1
"1448",1448,"3",0,0,1,0,0,0,0,0,0,0
"1449",1449,"1",1,0,0,0,0,0,0,0,0,0
"1450",1450,"2",0,1,0,0,0,0,0,0,0,0
"1451",1451,"NA",0,0,0,0,0,0,0,0,0,1
"1452",1452,"2",0,1,0,0,0,0,0,0,0,0
"1453",1453,"1",1,0,0,0,0,0,0,0,0,0
"1454",1454,"3",0,0,1,0,0,0,0,0,0,0
"1455",1455,"1",1,0,0,0,0,0,0,0,0,0
"1456",1456,"1",1,0,0,0,0,0,0,0,0,0
"1457",1457,"2",0,1,0,0,0,0,0,0,0,0
"1458",1458,"1",1,0,0,0,0,0,0,0,0,0
"1459",1459,"3",0,0,1,0,0,0,0,0,0,0
"1460",1460,"1",1,0,0,0,0,0,0,0,0,0
"1461",1461,"3",0,0,1,0,0,0,0,0,0,0
"1462",1462,"1",1,0,0,0,0,0,0,0,0,0
"1463",1463,"1",1,0,0,0,0,0,0,0,0,0
"1464",1464,"1",1,0,0,0,0,0,0,0,0,0
"1465",1465,"NA",0,0,0,0,0,0,0,0,0,1
"1466",1466,"1",1,0,0,0,0,0,0,0,0,0
"1467",1467,"2",0,1,0,0,0,0,0,0,0,0
"1468",1468,"2",0,1,0,0,0,0,0,0,0,0
"1469",1469,"1",1,0,0,0,0,0,0,0,0,0
"1470",1470,"2",0,1,0,0,0,0,0,0,0,0
"1471",1471,"NA",0,0,0,0,0,0,0,0,0,1
