"","id","tr","Trademarks","Trademarks_0to10","Trademarks_10to100","Trademarks_100+","Trademarks_NA"
"652",652,"59","10to100",0,1,0,0
"653",653,"11","10to100",0,1,0,0
"654",654,"0","0to10",1,0,0,0
"655",655,"NA","NA",0,0,0,1
"656",656,"2","0to10",1,0,0,0
"657",657,"NA","NA",0,0,0,1
"658",658,"NA","NA",0,0,0,1
"659",659,"2","0to10",1,0,0,0
"660",660,"NA","NA",0,0,0,1
"661",661,"2","0to10",1,0,0,0
"662",662,"2","0to10",1,0,0,0
"663",663,"18","10to100",0,1,0,0
"664",664,"NA","NA",0,0,0,1
"665",665,"6","0to10",1,0,0,0
"666",666,"11","10to100",0,1,0,0
"667",667,"1","0to10",1,0,0,0
"668",668,"4","0to10",1,0,0,0
"669",669,"5","0to10",1,0,0,0
"670",670,"3","0to10",1,0,0,0
"671",671,"1","0to10",1,0,0,0
"672",672,"1","0to10",1,0,0,0
"673",673,"NA","NA",0,0,0,1
"674",674,"7","0to10",1,0,0,0
"675",675,"8","0to10",1,0,0,0
"676",676,"17","10to100",0,1,0,0
"677",677,"NA","NA",0,0,0,1
"678",678,"NA","NA",0,0,0,1
"679",679,"3","0to10",1,0,0,0
"680",680,"NA","NA",0,0,0,1
"681",681,"0","0to10",1,0,0,0
"682",682,"3","0to10",1,0,0,0
"683",683,"NA","NA",0,0,0,1
"684",684,"NA","NA",0,0,0,1
"685",685,"NA","NA",0,0,0,1
"686",686,"1","0to10",1,0,0,0
"687",687,"6","0to10",1,0,0,0
"688",688,"0","0to10",1,0,0,0
"689",689,"2","0to10",1,0,0,0
"690",690,"10","0to10",1,0,0,0
"691",691,"6","0to10",1,0,0,0
"692",692,"2","0to10",1,0,0,0
"693",693,"NA","NA",0,0,0,1
"694",694,"NA","NA",0,0,0,1
"695",695,"8","0to10",1,0,0,0
"696",696,"1","0to10",1,0,0,0
"697",697,"NA","NA",0,0,0,1
"698",698,"13","10to100",0,1,0,0
"699",699,"NA","NA",0,0,0,1
"700",700,"NA","NA",0,0,0,1
"701",701,"6","0to10",1,0,0,0
"702",702,"1","0to10",1,0,0,0
"703",703,"0","0to10",1,0,0,0
"704",704,"2","0to10",1,0,0,0
"705",705,"7","0to10",1,0,0,0
"706",706,"1","0to10",1,0,0,0
"707",707,"NA","NA",0,0,0,1
