"","Y","id","noe","noe_1-10","noe_10001+","noe_1001-5000","noe_101-250","noe_11-50","noe_251-500","noe_5001-10000","noe_501-1000","noe_51-100","noe_NA"
"565",0,565,"101-250",0,0,0,1,0,0,0,0,0,0
"566",0,566,"NA",0,0,0,0,0,0,0,0,0,1
"567",0,567,"101-250",0,0,0,1,0,0,0,0,0,0
"568",0,568,"1-10",1,0,0,0,0,0,0,0,0,0
"569",0,569,"5001-10000",0,0,0,0,0,0,1,0,0,0
"570",0,570,"51-100",0,0,0,0,0,0,0,0,1,0
"571",0,571,"11-50",0,0,0,0,1,0,0,0,0,0
"572",0,572,"1-10",1,0,0,0,0,0,0,0,0,0
"573",0,573,"101-250",0,0,0,1,0,0,0,0,0,0
"574",0,574,"11-50",0,0,0,0,1,0,0,0,0,0
"575",0,575,"51-100",0,0,0,0,0,0,0,0,1,0
"576",0,576,"1001-5000",0,0,1,0,0,0,0,0,0,0
"577",0,577,"51-100",0,0,0,0,0,0,0,0,1,0
"578",0,578,"101-250",0,0,0,1,0,0,0,0,0,0
"579",0,579,"1-10",1,0,0,0,0,0,0,0,0,0
"580",0,580,"51-100",0,0,0,0,0,0,0,0,1,0
"581",0,581,"11-50",0,0,0,0,1,0,0,0,0,0
"582",0,582,"11-50",0,0,0,0,1,0,0,0,0,0
"583",0,583,"NA",0,0,0,0,0,0,0,0,0,1
"584",0,584,"101-250",0,0,0,1,0,0,0,0,0,0
"585",0,585,"11-50",0,0,0,0,1,0,0,0,0,0
"586",0,586,"11-50",0,0,0,0,1,0,0,0,0,0
"587",0,587,"NA",0,0,0,0,0,0,0,0,0,1
"588",0,588,"11-50",0,0,0,0,1,0,0,0,0,0
"589",0,589,"11-50",0,0,0,0,1,0,0,0,0,0
"590",0,590,"11-50",0,0,0,0,1,0,0,0,0,0
"591",0,591,"1-10",1,0,0,0,0,0,0,0,0,0
"592",0,592,"51-100",0,0,0,0,0,0,0,0,1,0
"593",0,593,"251-500",0,0,0,0,0,1,0,0,0,0
"594",0,594,"11-50",0,0,0,0,1,0,0,0,0,0
"595",0,595,"51-100",0,0,0,0,0,0,0,0,1,0
"596",0,596,"1-10",1,0,0,0,0,0,0,0,0,0
"597",0,597,"11-50",0,0,0,0,1,0,0,0,0,0
"598",0,598,"11-50",0,0,0,0,1,0,0,0,0,0
"599",0,599,"51-100",0,0,0,0,0,0,0,0,1,0
"600",0,600,"11-50",0,0,0,0,1,0,0,0,0,0
"601",0,601,"NA",0,0,0,0,0,0,0,0,0,1
"602",0,602,"11-50",0,0,0,0,1,0,0,0,0,0
"603",0,603,"11-50",0,0,0,0,1,0,0,0,0,0
"604",0,604,"11-50",0,0,0,0,1,0,0,0,0,0
"605",0,605,"11-50",0,0,0,0,1,0,0,0,0,0
"606",0,606,"NA",0,0,0,0,0,0,0,0,0,1
"607",0,607,"11-50",0,0,0,0,1,0,0,0,0,0
"608",0,608,"NA",0,0,0,0,0,0,0,0,0,1
"609",0,609,"11-50",0,0,0,0,1,0,0,0,0,0
"610",0,610,"1-10",1,0,0,0,0,0,0,0,0,0
"611",0,611,"101-250",0,0,0,1,0,0,0,0,0,0
"612",0,612,"501-1000",0,0,0,0,0,0,0,1,0,0
"613",0,613,"11-50",0,0,0,0,1,0,0,0,0,0
"614",0,614,"11-50",0,0,0,0,1,0,0,0,0,0
"615",0,615,"11-50",0,0,0,0,1,0,0,0,0,0
"616",0,616,"101-250",0,0,0,1,0,0,0,0,0,0
"617",0,617,"11-50",0,0,0,0,1,0,0,0,0,0
"618",0,618,"11-50",0,0,0,0,1,0,0,0,0,0
"619",0,619,"10001+",0,1,0,0,0,0,0,0,0,0
"620",0,620,"1-10",1,0,0,0,0,0,0,0,0,0
"621",0,621,"11-50",0,0,0,0,1,0,0,0,0,0
"622",0,622,"101-250",0,0,0,1,0,0,0,0,0,0
"623",0,623,"101-250",0,0,0,1,0,0,0,0,0,0
"624",0,624,"11-50",0,0,0,0,1,0,0,0,0,0
"625",0,625,"1-10",1,0,0,0,0,0,0,0,0,0
"626",0,626,"NA",0,0,0,0,0,0,0,0,0,1
"627",0,627,"11-50",0,0,0,0,1,0,0,0,0,0
"628",0,628,"NA",0,0,0,0,0,0,0,0,0,1
"629",0,629,"1-10",1,0,0,0,0,0,0,0,0,0
"630",0,630,"11-50",0,0,0,0,1,0,0,0,0,0
"631",0,631,"NA",0,0,0,0,0,0,0,0,0,1
"632",0,632,"1-10",1,0,0,0,0,0,0,0,0,0
"633",0,633,"11-50",0,0,0,0,1,0,0,0,0,0
"634",0,634,"11-50",0,0,0,0,1,0,0,0,0,0
"635",0,635,"11-50",0,0,0,0,1,0,0,0,0,0
"636",0,636,"10001+",0,1,0,0,0,0,0,0,0,0
"637",0,637,"NA",0,0,0,0,0,0,0,0,0,1
"638",0,638,"51-100",0,0,0,0,0,0,0,0,1,0
"639",0,639,"1-10",1,0,0,0,0,0,0,0,0,0
"640",0,640,"501-1000",0,0,0,0,0,0,0,1,0,0
"641",0,641,"11-50",0,0,0,0,1,0,0,0,0,0
"642",0,642,"101-250",0,0,0,1,0,0,0,0,0,0
"643",0,643,"51-100",0,0,0,0,0,0,0,0,1,0
"644",0,644,"51-100",0,0,0,0,0,0,0,0,1,0
"645",0,645,"10001+",0,1,0,0,0,0,0,0,0,0
"646",0,646,"11-50",0,0,0,0,1,0,0,0,0,0
"647",0,647,"1-10",1,0,0,0,0,0,0,0,0,0
